item,serial_number,Model,appraisal_value,item_description,category,remarks
intranet,8498296382,middleware,42748,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,5,malesuada in imperdiet et commodo vulputate justo in blandit ultrices
framework,5426670706,tangible,24546,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,4,vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur
Reverse-engineered,5140895706,help-desk,33485,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
solution,8608320177,Upgradable,39921,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,3,quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh
Adaptive,7125272770,holistic,15445,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,2,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
zero tolerance,2119039534,non-volatile,22913,sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,5,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
regional,8695644359,tertiary,1846,purus eu magna vulputate luctus cum sociis natoque penatibus et,1,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
Innovative,5400897177,service-desk,12393,venenatis turpis enim blandit mi in porttitor pede justo eu massa donec,5,viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus
collaboration,2852866137,Realigned,38008,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,5,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci
Assimilated,5674080321,analyzer,39557,sapien varius ut blandit non interdum in ante vestibulum ante,3,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel
static,0275814947,Advanced,15760,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,2,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia
background,5082783394,De-engineered,16645,eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien,2,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
synergy,6769874539,installation,25771,metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit,4,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in
coherent,9913099439,reciprocal,20075,condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit,1,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio
task-force,5221715821,Compatible,4463,non pretium quis lectus suspendisse potenti in eleifend quam a odio,4,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante
dedicated,7170623641,holistic,22235,lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a,1,enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula
matrices,0149911599,contextually-based,1511,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean,3,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem
fresh-thinking,2883762112,Exclusive,1296,rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,5,quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
system-worthy,2505770115,system-worthy,28441,consequat ut nulla sed accumsan felis ut at dolor quis,5,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo
analyzing,9830206084,array,49729,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,5,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in
Up-sized,8788591611,Secured,2959,eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero,5,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus
Cloned,5698669902,Business-focused,13427,curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,2,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
Versatile,7332243733,Advanced,16710,ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis,1,quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl
Future-proofed,9599313240,portal,32250,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla,5,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus
Synchronised,7301960832,Reduced,10399,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,1,tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat
even-keeled,0059818972,Quality-focused,43017,id luctus nec molestie sed justo pellentesque viverra pede ac,5,massa donec dapibus duis at velit eu est congue elementum in hac habitasse
Quality-focused,9472541925,Reactive,16659,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,5,odio donec vitae nisi nam ultrices libero non mattis pulvinar
Reduced,9855618203,orchestration,22049,cursus vestibulum proin eu mi nulla ac enim in tempor,4,at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae
Object-based,4372213085,Versatile,37695,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,5,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem
Operative,3717292935,needs-based,49361,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,4,risus dapibus augue vel accumsan tellus nisi eu orci mauris
Sharable,1114849758,24/7,34479,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede,2,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea
challenge,0669603449,Proactive,19776,quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue,3,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien
success,2611069131,solution-oriented,33407,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum,2,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
leading edge,3464665550,next generation,10005,nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non,5,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta
national,1934177059,Cross-platform,36599,integer a nibh in quis justo maecenas rhoncus aliquam lacus,3,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis
Switchable,7741946013,concept,8894,vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,1,nisi eu orci mauris lacinia sapien quis libero nullam sit
product,8183518613,Business-focused,19646,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,1,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
incremental,0318535149,methodical,39934,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,1,morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique
Mandatory,2793328243,productivity,4783,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,4,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna
exuding,0528367064,Reduced,23858,pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor,1,id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus
Customizable,7998002174,Triple-buffered,22135,sit amet cursus id turpis integer aliquet massa id lobortis convallis,4,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in
archive,6810211284,analyzing,10274,ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,3,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi
coherent,2176784189,contingency,11302,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,4,porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
fault-tolerant,6764041598,architecture,3865,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est,5,ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit
uniform,3376873496,didactic,1236,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,5,risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
User-centric,3619138729,middleware,22432,ipsum integer a nibh in quis justo maecenas rhoncus aliquam,4,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque
task-force,1515104354,Up-sized,13248,quisque ut erat curabitur gravida nisi at nibh in hac habitasse,3,pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti
Customizable,4945948720,interface,43923,odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,1,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas
foreground,5504244633,user-facing,14571,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,3,augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra
didactic,0969150695,flexibility,48139,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,1,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus
holistic,7162152198,Down-sized,34623,diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,2,cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis
data-warehouse,4238284720,Business-focused,2859,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue,2,nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris
Face to face,7669131063,time-frame,48037,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at,5,vestibulum proin eu mi nulla ac enim in tempor turpis nec
software,9698717900,fault-tolerant,38777,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,2,platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum
Pre-emptive,7779921670,multi-state,36224,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,2,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi
Expanded,4634755424,Decentralized,21084,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,4,nullam sit amet turpis elementum ligula vehicula consequat morbi a
Operative,5066059199,clear-thinking,25195,ultrices posuere cubilia curae nulla dapibus dolor vel est donec,1,cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui
utilisation,6765624198,even-keeled,31736,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras,4,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac
Virtual,5761405520,middleware,28121,sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices,3,ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus
Right-sized,8778786517,Exclusive,25396,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,4,lacinia aenean sit amet justo morbi ut odio cras mi pede
Programmable,1858275962,projection,25437,mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,3,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in
Optional,3305747609,groupware,33945,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,4,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero
stable,5283583716,impactful,2348,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,5,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus
knowledge base,2918109894,Front-line,18253,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,4,urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat
policy,4144764508,Extended,34276,donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,2,massa donec dapibus duis at velit eu est congue elementum in hac
knowledge user,4659977153,next generation,1481,vestibulum proin eu mi nulla ac enim in tempor turpis,3,libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet
executive,2874950211,motivating,24806,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,2,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel
core,4848368057,bifurcated,6727,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,3,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
executive,8833866637,intranet,25662,dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi,1,augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
optimal,3681058032,logistical,48424,orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula,4,donec semper sapien a libero nam dui proin leo odio
service-desk,8525702935,internet solution,4398,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,5,ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus
Assimilated,2284979777,zero administration,42017,mauris morbi non lectus aliquam sit amet diam in magna bibendum,5,sapien sapien non mi integer ac neque duis bibendum morbi non quam
Assimilated,8858999096,reciprocal,3926,vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,3,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
regional,8565749045,encryption,1408,tempus sit amet sem fusce consequat nulla nisl nunc nisl,4,amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non
portal,6205927209,Vision-oriented,10486,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,4,vivamus tortor duis mattis egestas metus aenean fermentum donec ut
uniform,2730152652,Pre-emptive,36049,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum,4,erat volutpat in congue etiam justo etiam pretium iaculis justo in
portal,3513166680,composite,28070,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,5,diam cras pellentesque volutpat dui maecenas tristique est et tempus
process improvement,6675563726,Networked,13126,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,5,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis
